OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultParticleSizeBasisText,USGSPCode
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901211,5/4/89,11:00:00,PDT,USGS-12484500,NWIS-70064092,,,,Sediment,Bed Sediment,100,%,,Accepted,,Actual,< 1 mm,80168
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901211,5/4/89,11:00:00,PDT,USGS-12484500,NWIS-70064093,,,,Sediment,Bed Sediment,100,%,,Accepted,,Actual,< 2 mm,80169
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901209,5/2/89,12:30:00,PDT,USGS-12479720,NWIS-70063929,,,,Sediment,Bed Sediment,74,%,,Accepted,,Actual,< 0.5 mm,80167
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901209,5/2/89,12:30:00,PDT,USGS-12479720,NWIS-70063930,,,,Sediment,Bed Sediment,95,%,,Accepted,,Actual,< 1 mm,80168
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901209,5/2/89,12:30:00,PDT,USGS-12479720,NWIS-70063926,,,,Sediment,Bed Sediment,13,%,,Accepted,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901209,5/2/89,12:30:00,PDT,USGS-12479720,NWIS-70063927,,,,Sediment,Bed Sediment,21,%,,Accepted,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901209,5/2/89,12:30:00,PDT,USGS-12479720,NWIS-70063928,,,,Sediment,Bed Sediment,45,%,,Accepted,,Actual,< 0.25 mm,80166
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901209,5/2/89,12:30:00,PDT,USGS-12479720,NWIS-70063931,,,,Sediment,Bed Sediment,100,%,,Accepted,,Actual,< 2 mm,80169
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901210,5/3/89,9:45:00,PDT,USGS-12484550,NWIS-70064007,,,,Sediment,Bed Sediment,21,%,,Accepted,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901210,5/3/89,9:45:00,PDT,USGS-12484550,NWIS-70064008,,,,Sediment,Bed Sediment,32,%,,Accepted,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901210,5/3/89,9:45:00,PDT,USGS-12484550,NWIS-70064009,,,,Sediment,Bed Sediment,61,%,,Accepted,,Actual,< 0.25 mm,80166
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901210,5/3/89,9:45:00,PDT,USGS-12484550,NWIS-70064010,,,,Sediment,Bed Sediment,85,%,,Accepted,,Actual,< 0.5 mm,80167
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901210,5/3/89,9:45:00,PDT,USGS-12484550,NWIS-70064011,,,,Sediment,Bed Sediment,95,%,,Accepted,,Actual,< 1 mm,80168
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98901210,5/3/89,9:45:00,PDT,USGS-12484550,NWIS-70064012,,,,Sediment,Bed Sediment,100,%,,Accepted,,Actual,< 2 mm,80169
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98400467,3/6/84,9:45:00,PST,USGS-12510500,NWIS-69889834,,,,Sediment,Bed Sediment,7,%,,Historical,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.98400460,3/6/84,15:00:00,PST,USGS-12500450,NWIS-69889481,,,,Sediment,Bed Sediment,7,%,,Historical,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01600020,10/26/15,10:00:00,PDT,USGS-12505450,NWIS-102246493,,,,Sediment,Bed Sediment,51,%,,Accepted,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01600020,10/26/15,10:00:00,PDT,USGS-12505450,NWIS-102246494,,,,Sediment,Bed Sediment,87,%,,Accepted,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01600020,10/26/15,10:00:00,PDT,USGS-12505450,NWIS-102246495,,,,Sediment,Bed Sediment,98,%,,Accepted,,Actual,< 0.25 mm,80166
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01600020,10/26/15,10:00:00,PDT,USGS-12505450,NWIS-102246496,,,,Sediment,Bed Sediment,100,%,,Accepted,,Actual,< 0.5 mm,80167
,,,,,,,,,,,,,,,,,,,,
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00200595,7/31/02,11:30:00,PDT,USGS-12508620,NWIS-68588047,,,,Sediment,Bed Sediment,8,%,,Accepted,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00200595,7/31/02,11:30:00,PDT,USGS-12508620,NWIS-68588048,,,,Sediment,Bed Sediment,100,%,,Accepted,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00200594,8/1/02,10:30:00,PDT,USGS-12500900,NWIS-68588039,,,,Sediment,Bed Sediment,29,%,,Accepted,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00200594,8/1/02,10:30:00,PDT,USGS-12500900,NWIS-68588040,,,,Sediment,Bed Sediment,100,%,,Accepted,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00200650,6/24/02,16:40:00,PDT,USGS-470012119410300,NWIS-68588079,,,,Sediment,Bed Sediment,100,%,,Accepted,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00200650,6/24/02,16:40:00,PDT,USGS-470012119410300,NWIS-68588078,,,,Sediment,Bed Sediment,0,%,,Accepted,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00200596,7/30/02,16:10:00,PDT,USGS-12484550,NWIS-68588054,,,,Sediment,Bed Sediment,6,%,,Accepted,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00200596,7/30/02,16:10:00,PDT,USGS-12484550,NWIS-68588055,,,,Sediment,Bed Sediment,100,%,,Accepted,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00200599,6/26/02,12:20:00,PDT,USGS-12510500,NWIS-68588070,,,,Sediment,Bed Sediment,19,%,,Accepted,,Actual,< 0.0625 mm,80164
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00200599,6/26/02,12:20:00,PDT,USGS-12510500,NWIS-68588071,,,,Sediment,Bed Sediment,100,%,,Accepted,,Actual,< 0.125 mm,80165
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800345,5/18/08,10:00:00,PDT,USGS-12487010,NWIS-79897532,,,,Sediment,Bedload,84,%,,Accepted,,Actual,< 16 mm,80234
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800345,5/18/08,10:00:00,PDT,USGS-12487010,NWIS-79897533,,,,Sediment,Bedload,94,%,,Accepted,,Actual,< 32 mm,80235
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800345,5/18/08,10:00:00,PDT,USGS-12487010,NWIS-79897523,,,,Sediment,Bedload,81,tons/day,,Accepted,,Actual,,80225
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800345,5/18/08,10:00:00,PDT,USGS-12487010,NWIS-79897524,,,,Sediment,Bedload,0,%,,Accepted,,Actual,< 0.0625 mm,80226
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800345,5/18/08,10:00:00,PDT,USGS-12487010,NWIS-79897525,,,,Sediment,Bedload,1,%,,Accepted,,Actual,< 0.125 mm,80227
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800345,5/18/08,10:00:00,PDT,USGS-12487010,NWIS-79897526,,,,Sediment,Bedload,2,%,,Accepted,,Actual,< 0.25 mm,80228
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800345,5/18/08,10:00:00,PDT,USGS-12487010,NWIS-79897527,,,,Sediment,Bedload,17,%,,Accepted,,Actual,< 0.5 mm,80229
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800345,5/18/08,10:00:00,PDT,USGS-12487010,NWIS-79897528,,,,Sediment,Bedload,66,%,,Accepted,,Actual,< 1 mm,80230
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800345,5/18/08,10:00:00,PDT,USGS-12487010,NWIS-79897529,,,,Sediment,Bedload,74,%,,Accepted,,Actual,< 2 mm,80231
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800345,5/18/08,10:00:00,PDT,USGS-12487010,NWIS-79897530,,,,Sediment,Bedload,77,%,,Accepted,,Actual,< 4 mm,80232
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800345,5/18/08,10:00:00,PDT,USGS-12487010,NWIS-79897531,,,,Sediment,Bedload,80,%,,Accepted,,Actual,< 8 mm,80233
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800345,5/18/08,10:00:00,PDT,USGS-12487010,NWIS-79897534,,,,Sediment,Bedload,100,%,,Accepted,,Actual,< 64 mm,80236
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800345,5/18/08,10:00:00,PDT,USGS-12487010,NWIS-79897535,,,,Sediment,Bedload,100,%,,Accepted,,Actual,< 128 mm,80238
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800341,5/20/08,13:25:00,PDT,USGS-12499010,NWIS-79897473,,,,Sediment,Bedload,772,tons/day,,Accepted,,Actual,,80225
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800341,5/20/08,13:25:00,PDT,USGS-12499010,NWIS-79897474,,,,Sediment,Bedload,0,%,,Accepted,,Actual,< 0.0625 mm,80226
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800341,5/20/08,13:25:00,PDT,USGS-12499010,NWIS-79897475,,,,Sediment,Bedload,0,%,,Accepted,,Actual,< 0.125 mm,80227
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800341,5/20/08,13:25:00,PDT,USGS-12499010,NWIS-79897476,,,,Sediment,Bedload,0,%,,Accepted,,Actual,< 0.25 mm,80228
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800341,5/20/08,13:25:00,PDT,USGS-12499010,NWIS-79897477,,,,Sediment,Bedload,5,%,,Accepted,,Actual,< 0.5 mm,80229
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800341,5/20/08,13:25:00,PDT,USGS-12499010,NWIS-79897478,,,,Sediment,Bedload,36,%,,Accepted,,Actual,< 1 mm,80230
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800341,5/20/08,13:25:00,PDT,USGS-12499010,NWIS-79897479,,,,Sediment,Bedload,46,%,,Accepted,,Actual,< 2 mm,80231
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800341,5/20/08,13:25:00,PDT,USGS-12499010,NWIS-79897480,,,,Sediment,Bedload,52,%,,Accepted,,Actual,< 4 mm,80232
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800341,5/20/08,13:25:00,PDT,USGS-12499010,NWIS-79897481,,,,Sediment,Bedload,59,%,,Accepted,,Actual,< 8 mm,80233
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800341,5/20/08,13:25:00,PDT,USGS-12499010,NWIS-79897482,,,,Sediment,Bedload,65,%,,Accepted,,Actual,< 16 mm,80234
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800341,5/20/08,13:25:00,PDT,USGS-12499010,NWIS-79897483,,,,Sediment,Bedload,72,%,,Accepted,,Actual,< 32 mm,80235
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800341,5/20/08,13:25:00,PDT,USGS-12499010,NWIS-79897484,,,,Sediment,Bedload,87,%,,Accepted,,Actual,< 64 mm,80236
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800341,5/20/08,13:25:00,PDT,USGS-12499010,NWIS-79897485,,,,Sediment,Bedload,100,%,,Accepted,,Actual,< 128 mm,80238
USGS-WA,USGS Washington Water Science Center,nwiswa.01.00800347,5/20/08,9:30:00,PDT,USGS-12487010,NWIS-79897548,,,,Sediment,Bedload,162,tons/day,,Accepted,,Actual,,80225
