stream_order,site_id,long,lat,type,folder,label,d50_mm_yolo,d50_mm_nexss,d50_mm_abeshu
4,S75,-120.51748,47.017577,Prediction1,maybe,2,22.275693,3.3254298,3.3759937
4,S75,-120.51748,47.017577,Prediction1,test,4,22.275749,3.3254298,3.3759937
4,S77,-120.583712,46.625578,Train1,none,0,51.177095,1.452887896,0.2818825
4,S77,-120.583712,46.625578,Prediction1,maybe,2,44.915150000000004,1.452887896,0.2818825
4,S77,-120.583712,46.625578,Prediction1,test,4,42.882072,1.452887896,0.2818825
4,S82,-120.480372,46.53837,Prediction1,no,3,15.18375,0.8623335,0.2169893
4,S82,-120.480372,46.53837,Prediction1,no,3,20.579351,0.8623335,0.2169893
3,S83,-121.227415,47.239586,Train1,none,0,28.95953,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,maybe,2,31.100467,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,maybe,2,32.109805,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,test,4,24.582223,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,yes,5,22.565918,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,yes,5,29.657629,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,yes,5,24.498221,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,yes,5,29.827031,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,yes,5,38.751231,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,yes,5,31.245327,24.25640589,0.6670102
3,S83,-121.227415,47.239586,Prediction1,yes,5,25.463057,24.25640589,0.6670102
4,W20,-120.710935,46.832844,Prediction1,maybe,2,47.051967,34.28728652,0.32813686
4,W20,-120.710935,46.832844,Prediction1,maybe,2,50.829234,34.28728652,0.32813686
4,W20,-120.710935,46.832844,Prediction1,no,3,58.040597999999996,34.28728652,0.32813686
4,W20,-120.710935,46.832844,Prediction1,no,3,60.944795000000006,34.28728652,0.32813686
4,W20,-120.710935,46.832844,Prediction1,no,3,51.858314,34.28728652,0.32813686
4,W20,-120.710935,46.832844,Prediction1,yes,5,29.55698,34.28728652,0.32813686
3,U20,-120.642142,46.898654,Prediction1,no,3,19.935771000000003,2.724905748,1.3775169
3,U20,-120.642142,46.898654,Prediction1,no,3,13.984144,2.724905748,1.3775169
